iter	Passed	Remaining
532	16327	14306
533	16357	14274
534	16388	14244
535	16417	14212
536	16448	14181
537	16478	14150
538	16508	14119
539	16539	14089
540	16571	14059
541	16600	14028
542	16631	13997
543	16661	13965
544	16691	13934
545	16721	13903
546	16750	13872
547	16781	13841
548	16811	13810
549	16840	13778
550	16871	13748
551	16903	13719
552	16936	13690
553	16966	13659
554	16999	13630
555	17034	13603
556	17065	13573
557	17101	13546
558	17131	13515
559	17162	13484
560	17194	13454
561	17225	13424
562	17256	13394
563	17285	13362
564	17316	13332
565	17347	13301
566	17377	13270
567	17406	13238
568	17436	13207
569	17467	13177
570	17497	13146
571	17530	13117
572	17560	13086
573	17591	13056
574	17622	13025
575	17653	12994
576	17683	12964
577	17715	12934
578	17746	12903
579	17776	12872
580	17807	12842
581	17836	12810
582	17867	12780
583	17897	12749
584	17928	12718
585	17957	12687
586	17987	12655
587	18017	12624
588	18048	12593
589	18077	12562
590	18108	12531
591	18137	12500
592	18168	12469
593	18199	12439
594	18229	12408
595	18258	12376
596	18290	12346
597	18321	12316
598	18350	12285
599	18381	12254
600	18411	12223
601	18444	12193
602	18476	12164
603	18506	12133
604	18541	12105
605	18571	12074
606	18601	12043
607	18632	12013
608	18662	11981
609	18693	11951
610	18722	11920
611	18752	11888
612	18782	11857
613	18811	11826
614	18841	11794
615	18871	11763
616	18902	11733
617	18931	11701
618	18960	11670
619	18989	11638
620	19020	11608
621	19051	11577
622	19082	11547
623	19113	11516
624	19145	11487
625	19176	11456
626	19207	11426
627	19238	11395
628	19267	11364
629	19297	11333
630	19328	11303
631	19358	11271
632	19387	11240
633	19418	11210
634	19448	11179
635	19477	11147
636	19512	11119
637	19549	11092
638	19583	11063
639	19616	11034
640	19655	11008
641	19692	10981
642	19727	10952
643	19758	10922
644	19788	10891
645	19817	10859
646	19848	10829
647	19881	10799
648	19913	10769
649	19943	10738
650	19972	10707
651	20002	10676
652	20031	10644
653	20061	10613
654	20091	10582
655	20119	10550
656	20148	10518
657	20179	10488
658	20211	10458
659	20241	10427
660	20271	10396
661	20301	10365
662	20331	10334
663	20362	10303
664	20393	10273
665	20425	10243
666	20456	10212
667	20488	10182
668	20519	10152
669	20550	10121
670	20582	10091
671	20612	10060
672	20641	10029
673	20672	9998
674	20704	9968
675	20736	9938
676	20767	9908
677	20797	9877
678	20827	9846
679	20857	9815
680	20888	9784
681	20919	9754
682	20951	9724
683	20981	9693
684	21013	9663
685	21044	9632
686	21078	9603
687	21113	9574
688	21153	9548
689	21187	9519
690	21222	9490
691	21265	9465
692	21304	9438
693	21339	9409
694	21376	9381
695	21415	9353
696	21456	9327
697	21497	9301
698	21534	9273
699	21571	9245
700	21610	9217
701	21645	9188
702	21680	9159
703	21712	9129
704	21745	9099
705	21779	9069
706	21815	9040
707	21847	9010
708	21879	8980
709	21910	8949
710	21944	8919
711	21976	8889
712	22009	8859
713	22039	8828
714	22071	8797
715	22105	8768
716	22139	8738
717	22174	8709
718	22208	8679
719	22241	8649
720	22277	8620
721	22309	8590
722	22340	8559
723	22370	8527
724	22399	8496
725	22432	8466
726	22463	8435
727	22494	8404
728	22523	8372
729	22553	8341
730	22583	8310
731	22618	8281
732	22650	8250
733	22682	8220
734	22714	8189
735	22745	8158
736	22777	8128
737	22810	8098
738	22841	8067
739	22872	8036
740	22903	8005
741	22933	7974
742	22962	7942
743	22993	7911
744	23027	7881
745	23058	7850
746	23090	7820
747	23122	7789
748	23153	7759
749	23184	7728
750	23218	7698
751	23250	7667
752	23280	7636
753	23311	7605
754	23344	7575
755	23375	7544
756	23406	7513
757	23442	7484
758	23508	7464
759	23573	7444
760	23646	7426
761	23713	7406
762	23839	7404
763	23904	7384
764	23967	7362
765	24035	7342
766	24103	7322
767	24178	7303
768	24260	7287
769	24327	7266
770	24394	7245
771	24463	7224
772	24526	7202
773	24592	7180
774	24655	7158
775	24726	7137
776	24813	7121
777	24892	7102
778	24989	7089
779	25074	7072
780	25137	7048
781	25197	7024
782	25263	7001
783	25325	6977
784	25388	6953
785	25458	6931
786	25521	6907
787	25583	6882
788	25653	6860
789	25716	6836
790	25791	6814
791	25861	6791
792	25926	6767
793	25959	6735
794	25992	6702
795	26023	6669
796	26052	6635
797	26082	6602
798	26109	6568
799	26139	6534
800	26207	6510
801	26248	6480
802	26276	6446
803	26313	6414
804	26344	6381
805	26374	6348
806	26406	6315
807	26438	6282
808	26471	6249
809	26506	6217
810	26537	6184
811	26567	6151
812	26598	6118
813	26627	6084
814	26658	6051
815	26688	6017
816	26719	5984
817	26748	5951
818	26776	5917
819	26802	5883
820	26829	5849
821	26856	5815
822	26884	5782
823	26913	5748
824	26941	5714
825	26968	5681
826	26998	5647
827	27026	5614
828	27053	5580
829	27082	5547
830	27113	5514
831	27145	5481
832	27182	5449
833	27225	5419
834	27260	5386
835	27290	5353
836	27322	5320
837	27351	5287
838	27381	5254
839	27412	5221
840	27443	5188
841	27473	5155
842	27501	5121
843	27530	5088
844	27561	5055
845	27589	5022
846	27617	4988
847	27647	4955
848	27676	4922
849	27705	4889
850	27735	4856
851	27764	4822
852	27794	4789
853	27824	4756
854	27855	4724
855	27885	4691
856	27918	4658
857	27966	4628
858	27998	4595
859	28027	4562
860	28059	4529
861	28087	4496
862	28113	4463
863	28143	4429
864	28171	4396
865	28198	4363
866	28226	4330
867	28254	4296
868	28283	4263
869	28311	4230
870	28342	4197
871	28369	4164
872	28397	4131
873	28426	4098
874	28458	4065
875	28496	4033
876	28530	4001
877	28587	3972
878	28619	3939
879	28649	3906
880	28678	3873
881	28729	3843
882	28763	3811
883	28798	3778
884	28834	3746
885	28869	3714
886	28902	3682
887	28935	3649
